,,,,
,학업우수전형,교과 70%,충원율(%),
,경영학과,2.39,136.1,
,국어국문학과,2.74,63.6,
,철학과,2.29,120,
,한국사학과,2.13,80,
,사학과,2.41,37.5,
,사회학과,1.88,40,
,한문학과,2.16,60,
,영어영문학과,2.69,95,
,독어독문학과,3.19,71.4,
,불어불문학과,2.96,85.7,
,중어중문학과,2.63,30,
,노어노문학과,3.26,114.3,
,일어일문학과,2.77,37.5,
,서어서문학과,3.21,22.2,
,언어학과,2.46,133.3,
,식품자원경제학과,2.63,60,
,정치외교학과,2.01,153.3,
,경제학과,2.48,112,
,통계학과,2.18,66.7,
,행정학과,2.33,50,
,교육학과,1.88,90,
,국어교육과,2.36,88.9,
,영어교육과,2.78,54.6,
,지리교육과,2.21,28.6,
,역사교육과,2.12,16.7,
,국제학부,2.48,110,
,미디어학부,2.39,100,
,보건정책관리학부,2.12,6.7,
,자유전공학부,2.28,109.1,
,심리학부,2.19,62.5,
,생명과학부,1.91,73.7,
,생명공학부,1.99,87,
,식품공학과,1.93,10,
,환경생태공학부,2.02,46.2,
,수학과,2.16,40,
,물리학과,1.98,70,
,화학과,1.82,33.3,
,지구환경과학과,2.11,50,
,공과대학,1.95,55,
,화공생명공학과,1.97,100,
,신소재공학부,2.06,47.4,
,건축사회환경공학부,2.14,40,
,건축학과,2.29,37.5,
,기계공학부,1.94,59.1,
,산업경영공학부,1.94,28.6,
,전기전자공학부,1.92,74.4,
,반도체공학과,1.82,80,
,융합에너지공학과,1.93,33.3,
,차세대통신학과,2.3,70,
,의과대학,1.23,113.8,
,가정교육과,2.3,28.6,
,수학교육과,1.84,42.9,
,간호대학,2.21,41.7,
,컴퓨터학과,1.89,68,
,데이터과학과,2.33,75,
,인공지능학과,1.97,42.9,
,바이오의공학부,2.07,47.1,
,바이오시스템의과학부,1.89,84.6,
,보건환경융합과학부,1.88,45.5,
,스마트보안학부,2.39,30,
,스마트모빌리티학부,2.16,20,